N, f, Alpha, T_le, Seed, Latency
3, 1, 0, 200, 1, 40
3, 1, 0, 200, 2, 117
3, 1, 0, 200, 3, 38
3, 1, 0, 200, 4, 80
3, 1, 0, 200, 5, 121
3, 1, 0, 100, 1, 40
3, 1, 0, 100, 2, 121
3, 1, 0, 100, 3, 38
3, 1, 0, 100, 4, 80
3, 1, 0, 100, 5, 125
3, 1, 0, 50, 1, 40
3, 1, 0, 50, 2, 92
3, 1, 0, 50, 3, 38
3, 1, 0, 50, 4, 110
3, 1, 0, 50, 5, 86
3, 1, 0, 30, 1, 40
3, 1, 0, 30, 2, 63
3, 1, 0, 30, 3, 38
3, 1, 0, 30, 4, 70
3, 1, 0, 30, 5, 66
3, 1, 0, 20, 1, 38
3, 1, 0, 20, 2, 85
3, 1, 0, 20, 3, 36
3, 1, 0, 20, 4, 76
3, 1, 0, 20, 5, 37
3, 1, 0, 10, 1, 44
3, 1, 0, 10, 2, 52
3, 1, 0, 10, 3, 34
3, 1, 0, 10, 4, 48
3, 1, 0, 10, 5, 39
3, 1, 0.1, 200, 1, 40
3, 1, 0.1, 200, 2, 126
3, 1, 0.1, 200, 3, 99
3, 1, 0.1, 200, 4, 71
3, 1, 0.1, 200, 5, 160
3, 1, 0.1, 100, 1, 40
3, 1, 0.1, 100, 2, 163
3, 1, 0.1, 100, 3, 99
3, 1, 0.1, 100, 4, 71
3, 1, 0.1, 100, 5, 149
3, 1, 0.1, 50, 1, 40
3, 1, 0.1, 50, 2, 82
3, 1, 0.1, 50, 3, 87
3, 1, 0.1, 50, 4, 82
3, 1, 0.1, 50, 5, 117
3, 1, 0.1, 30, 1, 40
3, 1, 0.1, 30, 2, 80
3, 1, 0.1, 30, 3, 76
3, 1, 0.1, 30, 4, 88
3, 1, 0.1, 30, 5, 72
3, 1, 0.1, 20, 1, 38
3, 1, 0.1, 20, 2, 89
3, 1, 0.1, 20, 3, 85
3, 1, 0.1, 20, 4, 94
3, 1, 0.1, 20, 5, 81
3, 1, 0.1, 10, 1, 44
3, 1, 0.1, 10, 2, 67
3, 1, 0.1, 10, 3, 62
3, 1, 0.1, 10, 4, 48
3, 1, 0.1, 10, 5, 90
3, 1, 1, 200, 1, 52
3, 1, 1, 200, 2, 90
3, 1, 1, 200, 3, 103
3, 1, 1, 200, 4, 40
3, 1, 1, 200, 5, 50
3, 1, 1, 100, 1, 52
3, 1, 1, 100, 2, 90
3, 1, 1, 100, 3, 103
3, 1, 1, 100, 4, 40
3, 1, 1, 100, 5, 50
3, 1, 1, 50, 1, 52
3, 1, 1, 50, 2, 90
3, 1, 1, 50, 3, 109
3, 1, 1, 50, 4, 40
3, 1, 1, 50, 5, 50
3, 1, 1, 30, 1, 56
3, 1, 1, 30, 2, 65
3, 1, 1, 30, 3, 74
3, 1, 1, 30, 4, 47
3, 1, 1, 30, 5, 40
3, 1, 1, 20, 1, 46
3, 1, 1, 20, 2, 66
3, 1, 1, 20, 3, 39
3, 1, 1, 20, 4, 43
3, 1, 1, 20, 5, 45
3, 1, 1, 10, 1, 51
3, 1, 1, 10, 2, 59
3, 1, 1, 10, 3, 39
3, 1, 1, 10, 4, 43
3, 1, 1, 10, 5, 53
10, 4, 0, 200, 1, 253
10, 4, 0, 200, 2, 250
10, 4, 0, 200, 3, 257
10, 4, 0, 200, 4, 252
10, 4, 0, 200, 5, 258
10, 4, 0, 100, 1, 137
10, 4, 0, 100, 2, 161
10, 4, 0, 100, 3, 152
10, 4, 0, 100, 4, 148
10, 4, 0, 100, 5, 155
10, 4, 0, 50, 1, 106
10, 4, 0, 50, 2, 107
10, 4, 0, 50, 3, 109
10, 4, 0, 50, 4, 99
10, 4, 0, 50, 5, 110
10, 4, 0, 30, 1, 90
10, 4, 0, 30, 2, 95
10, 4, 0, 30, 3, 89
10, 4, 0, 30, 4, 98
10, 4, 0, 30, 5, 83
10, 4, 0, 20, 1, 73
10, 4, 0, 20, 2, 74
10, 4, 0, 20, 3, 82
10, 4, 0, 20, 4, 79
10, 4, 0, 20, 5, 73
10, 4, 0, 10, 1, 55
10, 4, 0, 10, 2, 64
10, 4, 0, 10, 3, 56
10, 4, 0, 10, 4, 58
10, 4, 0, 10, 5, 56
10, 4, 0.1, 200, 1, 288
10, 4, 0.1, 200, 2, 285
10, 4, 0.1, 200, 3, 268
10, 4, 0.1, 200, 4, 280
10, 4, 0.1, 200, 5, 287
10, 4, 0.1, 100, 1, 173
10, 4, 0.1, 100, 2, 163
10, 4, 0.1, 100, 3, 136
10, 4, 0.1, 100, 4, 178
10, 4, 0.1, 100, 5, 158
10, 4, 0.1, 50, 1, 117
10, 4, 0.1, 50, 2, 128
10, 4, 0.1, 50, 3, 138
10, 4, 0.1, 50, 4, 113
10, 4, 0.1, 50, 5, 119
10, 4, 0.1, 30, 1, 109
10, 4, 0.1, 30, 2, 125
10, 4, 0.1, 30, 3, 107
10, 4, 0.1, 30, 4, 102
10, 4, 0.1, 30, 5, 100
10, 4, 0.1, 20, 1, 102
10, 4, 0.1, 20, 2, 86
10, 4, 0.1, 20, 3, 80
10, 4, 0.1, 20, 4, 100
10, 4, 0.1, 20, 5, 93
10, 4, 0.1, 10, 1, 70
10, 4, 0.1, 10, 2, 78
10, 4, 0.1, 10, 3, 83
10, 4, 0.1, 10, 4, 70
10, 4, 0.1, 10, 5, 76
10, 4, 1, 200, 1, 249
10, 4, 1, 200, 2, 255
10, 4, 1, 200, 3, 295
10, 4, 1, 200, 4, 274
10, 4, 1, 200, 5, 286
10, 4, 1, 100, 1, 165
10, 4, 1, 100, 2, 160
10, 4, 1, 100, 3, 174
10, 4, 1, 100, 4, 175
10, 4, 1, 100, 5, 177
10, 4, 1, 50, 1, 142
10, 4, 1, 50, 2, 118
10, 4, 1, 50, 3, 103
10, 4, 1, 50, 4, 111
10, 4, 1, 50, 5, 113
10, 4, 1, 30, 1, 96
10, 4, 1, 30, 2, 94
10, 4, 1, 30, 3, 71
10, 4, 1, 30, 4, 100
10, 4, 1, 30, 5, 95
10, 4, 1, 20, 1, 94
10, 4, 1, 20, 2, 99
10, 4, 1, 20, 3, 132
10, 4, 1, 20, 4, 78
10, 4, 1, 20, 5, 101
10, 4, 1, 10, 1, 67
10, 4, 1, 10, 2, 71
10, 4, 1, 10, 3, 69
10, 4, 1, 10, 4, 90
10, 4, 1, 10, 5, 92
30, 14, 0, 200, 1, 259
30, 14, 0, 200, 2, 262
30, 14, 0, 200, 3, 251
30, 14, 0, 200, 4, 249
30, 14, 0, 200, 5, 249
30, 14, 0, 100, 1, 156
30, 14, 0, 100, 2, 155
30, 14, 0, 100, 3, 156
30, 14, 0, 100, 4, 154
30, 14, 0, 100, 5, 158
30, 14, 0, 50, 1, 110
30, 14, 0, 50, 2, 106
30, 14, 0, 50, 3, 98
30, 14, 0, 50, 4, 92
30, 14, 0, 50, 5, 100
30, 14, 0, 30, 1, 91
30, 14, 0, 30, 2, 80
30, 14, 0, 30, 3, 80
30, 14, 0, 30, 4, 88
30, 14, 0, 30, 5, 92
30, 14, 0, 20, 1, 74
30, 14, 0, 20, 2, 68
30, 14, 0, 20, 3, 72
30, 14, 0, 20, 4, 71
30, 14, 0, 20, 5, 61
30, 14, 0, 10, 1, 63
30, 14, 0, 10, 2, 61
30, 14, 0, 10, 3, 63
30, 14, 0, 10, 4, 69
30, 14, 0, 10, 5, 53
30, 14, 0.1, 200, 1, 275
30, 14, 0.1, 200, 2, 291
30, 14, 0.1, 200, 3, 282
30, 14, 0.1, 200, 4, 284
30, 14, 0.1, 200, 5, 258
30, 14, 0.1, 100, 1, 183
30, 14, 0.1, 100, 2, 172
30, 14, 0.1, 100, 3, 188
30, 14, 0.1, 100, 4, 167
30, 14, 0.1, 100, 5, 194
30, 14, 0.1, 50, 1, 134
30, 14, 0.1, 50, 2, 118
30, 14, 0.1, 50, 3, 132
30, 14, 0.1, 50, 4, 134
30, 14, 0.1, 50, 5, 127
30, 14, 0.1, 30, 1, 105
30, 14, 0.1, 30, 2, 111
30, 14, 0.1, 30, 3, 122
30, 14, 0.1, 30, 4, 113
30, 14, 0.1, 30, 5, 131
30, 14, 0.1, 20, 1, 87
30, 14, 0.1, 20, 2, 100
30, 14, 0.1, 20, 3, 102
30, 14, 0.1, 20, 4, 97
30, 14, 0.1, 20, 5, 100
30, 14, 0.1, 10, 1, 106
30, 14, 0.1, 10, 2, 92
30, 14, 0.1, 10, 3, 73
30, 14, 0.1, 10, 4, 72
30, 14, 0.1, 10, 5, 96
30, 14, 1, 200, 1, 275
30, 14, 1, 200, 2, 279
30, 14, 1, 200, 3, 281
30, 14, 1, 200, 4, 276
30, 14, 1, 200, 5, 265
30, 14, 1, 100, 1, 182
30, 14, 1, 100, 2, 183
30, 14, 1, 100, 3, 173
30, 14, 1, 100, 4, 161
30, 14, 1, 100, 5, 190
30, 14, 1, 50, 1, 133
30, 14, 1, 50, 2, 122
30, 14, 1, 50, 3, 145
30, 14, 1, 50, 4, 122
30, 14, 1, 50, 5, 118
30, 14, 1, 30, 1, 123
30, 14, 1, 30, 2, 98
30, 14, 1, 30, 3, 119
30, 14, 1, 30, 4, 114
30, 14, 1, 30, 5, 106
30, 14, 1, 20, 1, 115
30, 14, 1, 20, 2, 103
30, 14, 1, 20, 3, 95
30, 14, 1, 20, 4, 88
30, 14, 1, 20, 5, 97
30, 14, 1, 10, 1, 101
30, 14, 1, 10, 2, 100
30, 14, 1, 10, 3, 85
30, 14, 1, 10, 4, 87
30, 14, 1, 10, 5, 92
70, 34, 0, 200, 1, 259
70, 34, 0, 200, 2, 251
70, 34, 0, 200, 3, 255
70, 34, 0, 200, 4, 258
70, 34, 0, 200, 5, 257
70, 34, 0, 100, 1, 161
70, 34, 0, 100, 2, 152
70, 34, 0, 100, 3, 147
70, 34, 0, 100, 4, 161
70, 34, 0, 100, 5, 149
70, 34, 0, 50, 1, 101
70, 34, 0, 50, 2, 101
70, 34, 0, 50, 3, 102
70, 34, 0, 50, 4, 100
70, 34, 0, 50, 5, 99
70, 34, 0, 30, 1, 82
70, 34, 0, 30, 2, 75
70, 34, 0, 30, 3, 77
70, 34, 0, 30, 4, 78
70, 34, 0, 30, 5, 85
70, 34, 0, 20, 1, 76
70, 34, 0, 20, 2, 69
70, 34, 0, 20, 3, 77
70, 34, 0, 20, 4, 69
70, 34, 0, 20, 5, 73
70, 34, 0, 10, 1, 68
70, 34, 0, 10, 2, 63
70, 34, 0, 10, 3, 57
70, 34, 0, 10, 4, 59
70, 34, 0, 10, 5, 68
70, 34, 0.1, 200, 1, 288
70, 34, 0.1, 200, 2, 284
70, 34, 0.1, 200, 3, 266
70, 34, 0.1, 200, 4, 294
70, 34, 0.1, 200, 5, 286
70, 34, 0.1, 100, 1, 187
70, 34, 0.1, 100, 2, 178
70, 34, 0.1, 100, 3, 202
70, 34, 0.1, 100, 4, 186
70, 34, 0.1, 100, 5, 196
70, 34, 0.1, 50, 1, 132
70, 34, 0.1, 50, 2, 131
70, 34, 0.1, 50, 3, 126
70, 34, 0.1, 50, 4, 130
70, 34, 0.1, 50, 5, 121
70, 34, 0.1, 30, 1, 117
70, 34, 0.1, 30, 2, 109
70, 34, 0.1, 30, 3, 113
70, 34, 0.1, 30, 4, 112
70, 34, 0.1, 30, 5, 124
70, 34, 0.1, 20, 1, 105
70, 34, 0.1, 20, 2, 97
70, 34, 0.1, 20, 3, 89
70, 34, 0.1, 20, 4, 111
70, 34, 0.1, 20, 5, 93
70, 34, 0.1, 10, 1, 97
70, 34, 0.1, 10, 2, 88
70, 34, 0.1, 10, 3, 98
70, 34, 0.1, 10, 4, 95
70, 34, 0.1, 10, 5, 98
70, 34, 1, 200, 1, 283
70, 34, 1, 200, 2, 288
70, 34, 1, 200, 3, 275
